Industry,Industry Description,Year,Value Added (Billions Chained 2009)
521CI,"Federal Reserve banks, credit intermediation, and related activities",2010,388.3
523,"Securities, commodity contracts, and investments",2010,192.2
524,"Insurance carriers and related activities",2010,359.7
525,"Funds, trusts, and other financial vehicles",2010,28.6
53,"Real estate and rental and leasing",2010,1957.2
531,"Real estate",2010,1794.8
532RL,"Rental and leasing services and lessors of intangible assets",2010,162.4
54,"Professional, scientific, and technical services",2010,1009.4
5411,"Legal services",2010,198.2
5412OP,"Miscellaneous professional, scientific, and technical services",2010,618.5
5415,"Computer systems design and related services",2010,193.1
55,"Management of companies and enterprises",2010,266.0
56,"Administrative and waste management services",2010,442.8
561,"Administrative and support services",2010,398.4
562,"Waste management and remediation services",2010,44.3
6,"Educational services, health care, and social assistance",2010,1220.5
61,"Educational services",2010,164.8
62,"Health care and social assistance",2010,1055.7
621,"Ambulatory health care services",2010,505.1
622,"Hospitals",2010,339.1
623,"Nursing and residential care facilities",2010,122.1
624,"Social assistance",2010,89.6
7,"Arts, entertainment, recreation, accommodation, and food services",2010,541.3
71,"Arts, entertainment, and recreation",2010,144.9
711AS,"Performing arts, spectator sports, museums, and related activities",2010,78.3
713,"Amusements, gambling, and recreation industries",2010,66.7
72,"Accommodation and food services",2010,396.4
721,"Accommodation",2010,111.6
722,"Food services and drinking places",2010,284.7
81,"Other services, except government",2010,323.9
FIRE,"Finance, insurance, real estate, rental, and leasing",2010,2925.4
G,"Government",2010,2079.8
GDP,"Gross domestic product",2010,14783.8
GF,"Federal",2010,680.4
GFE,"Government enterprises",2010,56.0
GFG,"General government",2010,624.2
GFGD,"National defense",2010,385.5
GFGN,"Nondefense",2010,238.9
GSL,"State and local",2010,1399.4
GSLE,"Government enterprises",2010,104.3
GSLG,"General government",2010,1295.2
HS,"Housing",2010,1480.0
ICT,"Information-communications-technology-producing industries [4]",2010,891.9
NABI,"Not allocated by industry [1]",2010,38.7
ORE,"Other real estate",2010,315.2
PGOOD,"Private goods-producing industries [2]",2010,2780.4
PROF,"Professional and business services",2010,1718.0
PSERV,"Private services-producing industries [3]",2010,9870.0
PVT,"Private industries",2010,12650.2
11,"Agriculture, forestry, fishing, and hunting",2011,134.0
111CA,"Farms",2011,105.7
113FF,"Forestry, fishing, and related activities",2011,28.5
21,"Mining",2011,290.1
211,"Oil and gas extraction",2011,165.2
212,"Mining, except oil and gas",2011,72.7
213,"Support activities for mining",2011,56.0
22,"Utilities",2011,277.9
23,"Construction",2011,548.6
311FT,"Food and beverage and tobacco products",2011,225.4
313TT,"Textile mills and textile product mills",2011,13.4
315AL,"Apparel and leather and allied products",2011,10.5
31G,"Manufacturing",2011,1823.2
31ND,"Nondurable goods",2011,793.4
321,"Wood products",2011,23.4
322,"Paper products",2011,50.8
323,"Printing and related support activities",2011,40.6
324,"Petroleum and coal products",2011,84.5
325,"Chemical products",2011,311.3
326,"Plastics and rubber products",2011,64.4
327,"Nonmetallic mineral products",2011,38.5
331,"Primary metals",2011,40.1
332,"Fabricated metal products",2011,137.4
333,"Machinery",2011,144.6
334,"Computer and electronic products",2011,264.8
335,"Electrical equipment, appliances, and components",2011,49.3
3361MV,"Motor vehicles, bodies and trailers, and parts",2011,127.4
3364OT,"Other transportation equipment",2011,114.4
337,"Furniture and related products",2011,23.6
339,"Miscellaneous manufacturing",2011,78.7
33DG,"Durable goods",2011,1037.5
42,"Wholesale trade",2011,866.0
441,"Motor vehicle and parts dealers",2011,146.0
445,"Food and beverage stores",2011,135.4
44RT,"Retail trade",2011,867.5
452,"General merchandise stores",2011,122.9
481,"Air transportation",2011,68.9
482,"Rail transportation",2011,35.3
483,"Water transportation",2011,15.8
484,"Truck transportation",2011,129.7
485,"Transit and ground passenger transportation",2011,28.1
486,"Pipeline transportation",2011,17.7
487OS,"Other transportation and support activities",2011,91.6
48TW,"Transportation and warehousing",2011,436.5
493,"Warehousing and storage",2011,50.4
4A0,"Other retail",2011,463.7
51,"Information",2011,736.1
511,"Publishing industries, except internet (includes software)",2011,190.1
512,"Motion picture and sound recording industries",2011,105.8
513,"Broadcasting and telecommunications",2011,365.8
514,"Data processing, internet publishing, and other information services",2011,74.5
52,"Finance and insurance",2011,978.0
521CI,"Federal Reserve banks, credit intermediation, and related activities",2011,411.6
523,"Securities, commodity contracts, and investments",2011,174.0
524,"Insurance carriers and related activities",2011,364.2
525,"Funds, trusts, and other financial vehicles",2011,28.5
53,"Real estate and rental and leasing",2011,2009.2
531,"Real estate",2011,1844.7
532RL,"Rental and leasing services and lessors of intangible assets",2011,164.5
54,"Professional, scientific, and technical services",2011,1046.1
5411,"Legal services",2011,199.7
5412OP,"Miscellaneous professional, scientific, and technical services",2011,636.9
5415,"Computer systems design and related services",2011,210.5
55,"Management of companies and enterprises",2011,277.6
56,"Administrative and waste management services",2011,459.3
561,"Administrative and support services",2011,421.5
562,"Waste management and remediation services",2011,38.1
6,"Educational services, health care, and social assistance",2011,1239.8
61,"Educational services",2011,166.2
62,"Health care and social assistance",2011,1073.6
621,"Ambulatory health care services",2011,517.8
622,"Hospitals",2011,346.5
623,"Nursing and residential care facilities",2011,122.6
624,"Social assistance",2011,86.8
7,"Arts, entertainment, recreation, accommodation, and food services",2011,562.5
71,"Arts, entertainment, and recreation",2011,147.8
711AS,"Performing arts, spectator sports, museums, and related activities",2011,79.9
713,"Amusements, gambling, and recreation industries",2011,68.0
72,"Accommodation and food services",2011,414.7
721,"Accommodation",2011,119.2
722,"Food services and drinking places",2011,295.4
81,"Other services, except government",2011,322.7
FIRE,"Finance, insurance, real estate, rental, and leasing",2011,2986.1
G,"Government",2011,2071.7
GDP,"Gross domestic product",2011,15020.6
GF,"Federal",2011,681.9
GFE,"Government enterprises",2011,50.8
GFG,"General government",2011,630.9
GFGD,"National defense",2011,391.0
GFGN,"Nondefense",2011,240.0
GSL,"State and local",2011,1389.8
GSLE,"Government enterprises",2011,109.4
GSLG,"General government",2011,1280.7
HS,"Housing",2011,1505.1
ICT,"Information-communications-technology-producing industries [4]",2011,923.2
NABI,"Not allocated by industry [1]",2011,45.0
ORE,"Other real estate",2011,340.9
PGOOD,"Private goods-producing industries [2]",2011,2796.2
PROF,"Professional and business services",2011,1782.9
PSERV,"Private services-producing industries [3]",2011,10077.2
PVT,"Private industries",2011,12871.7
11,"Agriculture, forestry, fishing, and hunting",2012,123.0
111CA,"Farms",2012,93.7
113FF,"Forestry, fishing, and related activities",2012,31.0
21,"Mining",2012,320.3
211,"Oil and gas extraction",2012,196.0
212,"Mining, except oil and gas",2012,66.7
213,"Support activities for mining",2012,59.0
22,"Utilities",2012,276.9
23,"Construction",2012,569.2
311FT,"Food and beverage and tobacco products",2012,221.8
313TT,"Textile mills and textile product mills",2012,14.8
315AL,"Apparel and leather and allied products",2012,10.4
31G,"Manufacturing",2012,1828.9
31ND,"Nondurable goods",2012,772.4
321,"Wood products",2012,23.4
322,"Paper products",2012,50.1
323,"Printing and related support activities",2012,40.5
324,"Petroleum and coal products",2012,81.1
325,"Chemical products",2012,296.3
326,"Plastics and rubber products",2012,66.7
327,"Nonmetallic mineral products",2012,39.7
331,"Primary metals",2012,47.0
332,"Fabricated metal products",2012,141.8
333,"Machinery",2012,144.4
334,"Computer and electronic products",2012,276.4
335,"Electrical equipment, appliances, and components",2012,50.0
3361MV,"Motor vehicles, bodies and trailers, and parts",2012,138.1
3364OT,"Other transportation equipment",2012,110.6
337,"Furniture and related products",2012,23.3
339,"Miscellaneous manufacturing",2012,77.9
33DG,"Durable goods",2012,1068.9
42,"Wholesale trade",2012,891.0
441,"Motor vehicle and parts dealers",2012,157.6
445,"Food and beverage stores",2012,132.3
44RT,"Retail trade",2012,883.6
452,"General merchandise stores",2012,111.6
481,"Air transportation",2012,64.6
482,"Rail transportation",2012,36.3
483,"Water transportation",2012,16.0
484,"Truck transportation",2012,132.5
485,"Transit and ground passenger transportation",2012,27.9
486,"Pipeline transportation",2012,19.5
487OS,"Other transportation and support activities",2012,89.8
48TW,"Transportation and warehousing",2012,439.7
493,"Warehousing and storage",2012,55.4
4A0,"Other retail",2012,484.6
51,"Information",2012,744.5
511,"Publishing industries, except internet (includes software)",2012,195.1
512,"Motion picture and sound recording industries",2012,109.5
513,"Broadcasting and telecommunications",2012,370.8
514,"Data processing, internet publishing, and other information services",2012,69.0
52,"Finance and insurance",2012,1028.5
521CI,"Federal Reserve banks, credit intermediation, and related activities",2012,428.7
523,"Securities, commodity contracts, and investments",2012,189.7
524,"Insurance carriers and related activities",2012,378.2
525,"Funds, trusts, and other financial vehicles",2012,31.7
53,"Real estate and rental and leasing",2012,2040.3
531,"Real estate",2012,1865.0
532RL,"Rental and leasing services and lessors of intangible assets",2012,175.4
54,"Professional, scientific, and technical services",2012,1081.4
5411,"Legal services",2012,194.4
5412OP,"Miscellaneous professional, scientific, and technical services",2012,656.2
5415,"Computer systems design and related services",2012,233.4
55,"Management of companies and enterprises",2012,298.6
56,"Administrative and waste management services",2012,476.5
561,"Administrative and support services",2012,439.3
562,"Waste management and remediation services",2012,37.6
6,"Educational services, health care, and social assistance",2012,1263.3
61,"Educational services",2012,167.6
62,"Health care and social assistance",2012,1095.8
621,"Ambulatory health care services",2012,524.9
622,"Hospitals",2012,354.7
623,"Nursing and residential care facilities",2012,123.6
624,"Social assistance",2012,92.6
7,"Arts, entertainment, recreation, accommodation, and food services",2012,576.3
71,"Arts, entertainment, and recreation",2012,152.6
711AS,"Performing arts, spectator sports, museums, and related activities",2012,82.4
713,"Amusements, gambling, and recreation industries",2012,70.4
72,"Accommodation and food services",2012,423.7
721,"Accommodation",2012,121.3
722,"Food services and drinking places",2012,302.2
81,"Other services, except government",2012,329.6
FIRE,"Finance, insurance, real estate, rental, and leasing",2012,3069.3
G,"Government",2012,2067.4
GDP,"Gross domestic product",2012,15354.6
GF,"Federal",2012,678.5
GFE,"Government enterprises",2012,47.9
GFG,"General government",2012,630.3
GFGD,"National defense",2012,387.5
GFGN,"Nondefense",2012,242.9
GSL,"State and local",2012,1388.9
GSLE,"Government enterprises",2012,115.4
GSLG,"General government",2012,1274.0
HS,"Housing",2012,1501.4
ICT,"Information-communications-technology-producing industries [4]",2012,952.6
NABI,"Not allocated by industry [1]",2012,76.2
ORE,"Other real estate",2012,366.1
PGOOD,"Private goods-producing industries [2]",2012,2841.7
PROF,"Professional and business services",2012,1856.1
PSERV,"Private services-producing industries [3]",2012,10330.4
PVT,"Private industries",2012,13169.0
11,"Agriculture, forestry, fishing, and hunting",2013,143.9
111CA,"Farms",2013,113.5
113FF,"Forestry, fishing, and related activities",2013,30.5
21,"Mining",2013,341.9
211,"Oil and gas extraction",2013,217.5
212,"Mining, except oil and gas",2013,65.6
213,"Support activities for mining",2013,58.2
22,"Utilities",2013,274.6
23,"Construction",2013,584.9
311FT,"Food and beverage and tobacco products",2013,223.8
313TT,"Textile mills and textile product mills",2013,15.6
315AL,"Apparel and leather and allied products",2013,10.5
31G,"Manufacturing",2013,1865.0
31ND,"Nondurable goods",2013,794.3
321,"Wood products",2013,22.7
322,"Paper products",2013,51.1
323,"Printing and related support activities",2013,41.1
324,"Petroleum and coal products",2013,89.7
325,"Chemical products",2013,300.2
326,"Plastics and rubber products",2013,66.4
327,"Nonmetallic mineral products",2013,42.4
331,"Primary metals",2013,50.2
332,"Fabricated metal products",2013,140.8
333,"Machinery",2013,141.7
334,"Computer and electronic products",2013,278.7
335,"Electrical equipment, appliances, and components",2013,52.2
3361MV,"Motor vehicles, bodies and trailers, and parts",2013,145.2
3364OT,"Other transportation equipment",2013,112.0
337,"Furniture and related products",2013,25.2
339,"Miscellaneous manufacturing",2013,74.7
33DG,"Durable goods",2013,1081.9
42,"Wholesale trade",2013,919.5
441,"Motor vehicle and parts dealers",2013,171.5
445,"Food and beverage stores",2013,131.7
44RT,"Retail trade",2013,909.4
452,"General merchandise stores",2013,115.3
481,"Air transportation",2013,68.0
482,"Rail transportation",2013,36.5
483,"Water transportation",2013,20.9
484,"Truck transportation",2013,131.0
485,"Transit and ground passenger transportation",2013,26.8
486,"Pipeline transportation",2013,18.8
487OS,"Other transportation and support activities",2013,88.3
48TW,"Transportation and warehousing",2013,444.8
493,"Warehousing and storage",2013,57.7
4A0,"Other retail",2013,493.6
51,"Information",2013,793.0
511,"Publishing industries, except internet (includes software)",2013,196.3
512,"Motion picture and sound recording industries",2013,110.1
513,"Broadcasting and telecommunications",2013,401.2
514,"Data processing, internet publishing, and other information services",2013,85.9
52,"Finance and insurance",2013,981.7
521CI,"Federal Reserve banks, credit intermediation, and related activities",2013,393.3
523,"Securities, commodity contracts, and investments",2013,177.1
524,"Insurance carriers and related activities",2013,378.7
525,"Funds, trusts, and other financial vehicles",2013,34.2
53,"Real estate and rental and leasing",2013,2070.3
531,"Real estate",2013,1889.6
532RL,"Rental and leasing services and lessors of intangible assets",2013,180.9
54,"Professional, scientific, and technical services",2013,1082.2
5411,"Legal services",2013,187.8
5412OP,"Miscellaneous professional, scientific, and technical services",2013,661.9
5415,"Computer systems design and related services",2013,236.0
55,"Management of companies and enterprises",2013,314.2
56,"Administrative and waste management services",2013,483.9
561,"Administrative and support services",2013,447.2
562,"Waste management and remediation services",2013,37.1
6,"Educational services, health care, and social assistance",2013,1279.3
61,"Educational services",2013,164.1
62,"Health care and social assistance",2013,1115.6
621,"Ambulatory health care services",2013,541.7
622,"Hospitals",2013,352.8
623,"Nursing and residential care facilities",2013,125.3
624,"Social assistance",2013,95.8
7,"Arts, entertainment, recreation, accommodation, and food services",2013,590.2
71,"Arts, entertainment, and recreation",2013,157.2
711AS,"Performing arts, spectator sports, museums, and related activities",2013,84.1
713,"Amusements, gambling, and recreation industries",2013,73.3
72,"Accommodation and food services",2013,433.0
721,"Accommodation",2013,126.1
722,"Food services and drinking places",2013,306.9
81,"Other services, except government",2013,327.0
FIRE,"Finance, insurance, real estate, rental, and leasing",2013,3048.7
G,"Government",2013,2050.6
GDP,"Gross domestic product",2013,15612.2
GF,"Federal",2013,662.0
GFE,"Government enterprises",2013,43.3
GFG,"General government",2013,618.4
GFGD,"National defense",2013,378.5
GFGN,"Nondefense",2013,240.0
GSL,"State and local",2013,1388.4
GSLE,"Government enterprises",2013,116.3
GSLG,"General government",2013,1272.6
HS,"Housing",2013,1499.2
ICT,"Information-communications-technology-producing industries [4]",2013,1019.4
NABI,"Not allocated by industry [1]",2013,120.2
ORE,"Other real estate",2013,394.4
PGOOD,"Private goods-producing industries [2]",2013,2944.8
PROF,"Professional and business services",2013,1879.6
PSERV,"Private services-producing industries [3]",2013,10463.8
PVT,"Private industries",2013,13408.9
11,"Agriculture, forestry, fishing, and hunting",2014,143.0
111CA,"Farms",2014,111.4
113FF,"Forestry, fishing, and related activities",2014,32.3
21,"Mining",2014,376.2
211,"Oil and gas extraction",2014,243.2
212,"Mining, except oil and gas",2014,66.5
213,"Support activities for mining",2014,64.8
22,"Utilities",2014,268.5
23,"Construction",2014,594.8
311FT,"Food and beverage and tobacco products",2014,220.4
313TT,"Textile mills and textile product mills",2014,16.4
315AL,"Apparel and leather and allied products",2014,10.1
31G,"Manufacturing",2014,1883.1
31ND,"Nondurable goods",2014,795.6
321,"Wood products",2014,22.0
322,"Paper products",2014,51.4
323,"Printing and related support activities",2014,39.9
324,"Petroleum and coal products",2014,96.8
325,"Chemical products",2014,296.9
326,"Plastics and rubber products",2014,63.5
327,"Nonmetallic mineral products",2014,43.3
331,"Primary metals",2014,47.8
332,"Fabricated metal products",2014,145.7
333,"Machinery",2014,142.4
334,"Computer and electronic products",2014,284.0
335,"Electrical equipment, appliances, and components",2014,52.7
3361MV,"Motor vehicles, bodies and trailers, and parts",2014,150.2
3364OT,"Other transportation equipment",2014,114.9
337,"Furniture and related products",2014,26.0
339,"Miscellaneous manufacturing",2014,76.0
33DG,"Durable goods",2014,1100.1
42,"Wholesale trade",2014,954.5
441,"Motor vehicle and parts dealers",2014,180.6
445,"Food and beverage stores",2014,131.4
44RT,"Retail trade",2014,934.9
452,"General merchandise stores",2014,120.0
481,"Air transportation",2014,69.1
482,"Rail transportation",2014,37.9
483,"Water transportation",2014,18.4
484,"Truck transportation",2014,133.5
485,"Transit and ground passenger transportation",2014,27.1
486,"Pipeline transportation",2014,19.9
487OS,"Other transportation and support activities",2014,87.3
48TW,"Transportation and warehousing",2014,450.0
493,"Warehousing and storage",2014,60.3
4A0,"Other retail",2014,505.7
51,"Information",2014,794.6
511,"Publishing industries, except internet (includes software)",2014,192.1
512,"Motion picture and sound recording industries",2014,105.0
513,"Broadcasting and telecommunications",2014,399.5
514,"Data processing, internet publishing, and other information services",2014,99.3
52,"Finance and insurance",2014,1031.3
521CI,"Federal Reserve banks, credit intermediation, and related activities",2014,383.7
523,"Securities, commodity contracts, and investments",2014,168.7
524,"Insurance carriers and related activities",2014,430.9
525,"Funds, trusts, and other financial vehicles",2014,58.4
53,"Real estate and rental and leasing",2014,2112.6
531,"Real estate",2014,1924.4
532RL,"Rental and leasing services and lessors of intangible assets",2014,188.4
54,"Professional, scientific, and technical services",2014,1118.0
5411,"Legal services",2014,186.0
5412OP,"Miscellaneous professional, scientific, and technical services",2014,687.5
5415,"Computer systems design and related services",2014,249.6
55,"Management of companies and enterprises",2014,338.0
56,"Administrative and waste management services",2014,501.0
561,"Administrative and support services",2014,463.2
562,"Waste management and remediation services",2014,38.3
6,"Educational services, health care, and social assistance",2014,1303.9
61,"Educational services",2014,167.6
62,"Health care and social assistance",2014,1136.6
621,"Ambulatory health care services",2014,557.6
622,"Hospitals",2014,354.5
623,"Nursing and residential care facilities",2014,127.5
624,"Social assistance",2014,97.3
7,"Arts, entertainment, recreation, accommodation, and food services",2014,606.3
71,"Arts, entertainment, and recreation",2014,162.8
711AS,"Performing arts, spectator sports, museums, and related activities",2014,87.7
713,"Amusements, gambling, and recreation industries",2014,75.3
72,"Accommodation and food services",2014,443.5
721,"Accommodation",2014,127.0
722,"Food services and drinking places",2014,316.4
81,"Other services, except government",2014,333.9
FIRE,"Finance, insurance, real estate, rental, and leasing",2014,3142.9
G,"Government",2014,2045.3
GDP,"Gross domestic product",2014,15982.3
GF,"Federal",2014,656.9
GFE,"Government enterprises",2014,44.1
GFG,"General government",2014,612.5
GFGD,"National defense",2014,371.6
GFGN,"Nondefense",2014,240.8
GSL,"State and local",2014,1388.2
GSLE,"Government enterprises",2014,111.2
GSLG,"General government",2014,1277.6
HS,"Housing",2014,1522.0
ICT,"Information-communications-technology-producing industries [4]",2014,1044.6
NABI,"Not allocated by industry [1]",2014,147.0
ORE,"Other real estate",2014,406.9
PGOOD,"Private goods-producing industries [2]",2014,3010.0
PROF,"Professional and business services",2014,1955.7
PSERV,"Private services-producing industries [3]",2014,10744.8
PVT,"Private industries",2014,13754.4
11,"Agriculture, forestry, fishing, and hunting",2015,146.5
111CA,"Farms",2015,114.9
113FF,"Forestry, fishing, and related activities",2015,32.3
21,"Mining",2015,392.0
211,"Oil and gas extraction",2015,281.7
212,"Mining, except oil and gas",2015,59.6
213,"Support activities for mining",2015,52.0
22,"Utilities",2015,264.4
23,"Construction",2015,623.9
311FT,"Food and beverage and tobacco products",2015,219.5
313TT,"Textile mills and textile product mills",2015,16.0
315AL,"Apparel and leather and allied products",2015,9.3
31G,"Manufacturing",2015,1912.0
31ND,"Nondurable goods",2015,814.2
321,"Wood products",2015,23.5
322,"Paper products",2015,51.4
323,"Printing and related support activities",2015,38.7
324,"Petroleum and coal products",2015,109.9
325,"Chemical products",2015,301.9
326,"Plastics and rubber products",2015,62.5
327,"Nonmetallic mineral products",2015,42.6
331,"Primary metals",2015,54.6
332,"Fabricated metal products",2015,140.2
333,"Machinery",2015,134.4
334,"Computer and electronic products",2015,295.5
335,"Electrical equipment, appliances, and components",2015,51.8
3361MV,"Motor vehicles, bodies and trailers, and parts",2015,154.2
3364OT,"Other transportation equipment",2015,115.5
337,"Furniture and related products",2015,26.3
339,"Miscellaneous manufacturing",2015,76.6
33DG,"Durable goods",2015,1109.5
42,"Wholesale trade",2015,983.6
441,"Motor vehicle and parts dealers",2015,196.7
445,"Food and beverage stores",2015,128.0
44RT,"Retail trade",2015,969.4
452,"General merchandise stores",2015,125.1
481,"Air transportation",2015,68.9
482,"Rail transportation",2015,35.9
483,"Water transportation",2015,15.8
484,"Truck transportation",2015,126.4
485,"Transit and ground passenger transportation",2015,27.4
486,"Pipeline transportation",2015,20.5
487OS,"Other transportation and support activities",2015,89.6
48TW,"Transportation and warehousing",2015,445.8
493,"Warehousing and storage",2015,65.4
4A0,"Other retail",2015,523.6
51,"Information",2015,854.5
511,"Publishing industries, except internet (includes software)",2015,203.0
512,"Motion picture and sound recording industries",2015,111.2
513,"Broadcasting and telecommunications",2015,428.4
514,"Data processing, internet publishing, and other information services",2015,113.7
52,"Finance and insurance",2015,1027.8
521CI,"Federal Reserve banks, credit intermediation, and related activities",2015,374.1
523,"Securities, commodity contracts, and investments",2015,163.7
524,"Insurance carriers and related activities",2015,449.6
525,"Funds, trusts, and other financial vehicles",2015,53.9
53,"Real estate and rental and leasing",2015,2164.9
531,"Real estate",2015,1959.9
532RL,"Rental and leasing services and lessors of intangible assets",2015,206.1
54,"Professional, scientific, and technical services",2015,1175.3
5411,"Legal services",2015,189.7
5412OP,"Miscellaneous professional, scientific, and technical services",2015,717.2
5415,"Computer systems design and related services",2015,276.1
55,"Management of companies and enterprises",2015,346.1
56,"Administrative and waste management services",2015,518.5
561,"Administrative and support services",2015,480.6
562,"Waste management and remediation services",2015,38.6
6,"Educational services, health care, and social assistance",2015,1354.4
61,"Educational services",2015,168.0
62,"Health care and social assistance",2015,1187.3
621,"Ambulatory health care services",2015,595.2
622,"Hospitals",2015,365.6
623,"Nursing and residential care facilities",2015,128.1
624,"Social assistance",2015,99.1
7,"Arts, entertainment, recreation, accommodation, and food services",2015,623.4
71,"Arts, entertainment, and recreation",2015,168.5
711AS,"Performing arts, spectator sports, museums, and related activities",2015,90.2
713,"Amusements, gambling, and recreation industries",2015,78.5
72,"Accommodation and food services",2015,455.0
721,"Accommodation",2015,129.9
722,"Food services and drinking places",2015,325.1
81,"Other services, except government",2015,339.6
FIRE,"Finance, insurance, real estate, rental, and leasing",2015,3189.0
G,"Government",2015,2053.3
GDP,"Gross domestic product",2015,16397.2
GF,"Federal",2015,652.9
GFE,"Government enterprises",2015,45.2
GFG,"General government",2015,607.3
GFGD,"National defense",2015,363.7
GFGN,"Nondefense",2015,243.5
GSL,"State and local",2015,1400.0
GSLE,"Government enterprises",2015,106.3
GSLG,"General government",2015,1294.5
HS,"Housing",2015,1549.9
ICT,"Information-communications-technology-producing industries [4]",2015,1128.3
NABI,"Not allocated by industry [1]",2015,148.3
ORE,"Other real estate",2015,414.7
PGOOD,"Private goods-producing industries [2]",2015,3088.7
PROF,"Professional and business services",2015,2039.2
PSERV,"Private services-producing industries [3]",2015,11055.9
PVT,"Private industries",2015,14144.3
